hs_class,text
negative,"Bos Korea gua itu awalnya ga percaya yg begituan, meskipun banyak kejadian di pabrik. nOrang yg kesurupan dia bilangnya '"
negative,Seorang Ahok konsisten dengan memberangkatkan saudara kita umat muslim yg kurang mampu bisa pergi umroh secara gratis. Tapi dilain sisi ada banyak penipu yang pakai embel2 agama untuk mengubur harapan saudara kita umat muslim yang kurang mampu untuk dap
negative,Demi apapun deket kampus gue ditemuin tas yg diduga isinya bom dong..'
positive,Ya kali ketemu Bobotoh Viking minta kaos The Jak?? #MIKIR
negative,Gubernur Pastika Hadiri Se ijab Ketua Umum APPSI
negative,"Merapat dan bergurulah kepada Ulama yg Tegak Lurus dihadapan Rezim, selama ini kita melupakan Ulama sebagi sumber menggali ilmu. nPengetahuan kita sering menggurui Ilmu, seakan pesona tokoh itu adalah kebenaran. Ternyata salah besar. nMerapatlah kepa"
negative,Jadi Ahok dipenjara hanya karena mengutip kisah fiksi ??
negative,kaget anjir mentab penuh kirain apa'
positive,"Awas ya kalo gue udah jadi istrinya yg punya Ciputra Group, jangan panjat ke gue lo kampang'"
negative,"Aku kemarin kirim tuyul loh ke rumah kamu | Ih buat apaan ?| Tenang aja bukan buat ngambil uang kok, tapi buat nyuri hati kamu buat aku.'"
negative,Ooooh ini toh maksud bom takjil. Kurang kerjaan dan nyeleneh'
positive,"biarin,km yg mensen sy duluan. goblog'"
positive,Emangnya nih pa ai klo ngeluarin statement ada yang percaya? Lah isinya jongos cina komunis semua.
negative,Pilihanku Pa ai Bulan Bintang
positive,Kok tambah dungu bang'
positive,"Mana neh yang nyerang gw semalem, malah ended up ngeblok????? Cupu. Dia yang mulai, dia yang kicep. Ew.'"
negative,Brengsek gue udah nanges liat dk jd goblen ( URL
negative,tai apa yg terakir'
negative,Udah kayak onta aja haha'
positive,Horee e...ASU ikutan doyan aseng asing... ndasar munafik'
negative,Masak bikin Riwayat kturunan ga bs! Sy umumkan darah sy Ibu sy Eci Diaman Tuti binti K.H Ahmad Yasadipura Istri kakek saya R.A Karlina Bapak sy Indra Wijaya bin S.R.M (Sutan Rangkayo Mulia) H. Zaenal Arifin Istri kakek saya Hj Nurdiana Cate
negative,"maklumlah, kita paham kok siapa yg dekat dgn zionis.. dan pernah gabung dgn komunis..'"
positive,"Babi sipit banci pake akun fake, lebih hina dari babi bahkan'"
positive,Bhuakakakaka... nTernyata pendukungnya kumpulan bani ONTA (Sumbu Pendek).. nSelamat menikmati kepemimpinan presiden nMantapkan untuk #2019PilihJokowi n
negative,Politisasi Radikal ciri khas Komunis.'
negative,"mungkin karena saya cacat,sehingga sampe sekarang belum ada wanita yang mau jadi pasanganku..'"
negative,FARAH DUH AQ BOM LAMA LAMA QM DEK'
positive,"Kristen o odo gama yang sangat mengerikan.. Mereka sholat,pake jilbab hampir sama penampilannya dengan orang..."
negative,"Kalau Rakyat kecil sepe i supir angkot seluruh Indonesia suda tidak mendukung rezim ini terutama capres nya apa lagi intelektual,karena kebijakan memaksan sepeda motor di jadikan sebagai angkutan umum ini usaha orang kecil saja di bangkrut kan apa lagi"
negative,"Sesungguhnya tiada berputus asa dari rahmat Allah, melainkan kaum yang kafir (QS.Yusuf 87)'"
negative,"mari kita gerakan anti bully, jadilah netizen cerdas! cuy, dah liat IG syahrini? wah, anjing! Gak bisa dibiarin! ma '"
negative,kaya monyet?'
negative,Teriakan2 mrk msih terngiang d telinga... nSerasa dunia mlik mrka... npdhl msih ada TUHAN penentu sglnya... nSkrng saatnya...
negative,Mungkin hinaan yg kita dapatkan yg ada d Indonesia paling lewat media dan sosmed tp saya tidak bisa bayang nasib para TKI yg ada d sana krn hinaan ini didengarnya langsung. Mohon pak bisa memikirkan
negative,Semoga makin banyak sudara2 kita yang sadar akan pemerintahan sekarang... #2
positive,Bangke !! gue rajin bayar lu ga pernah bener. Tariff naik trs'
negative,Haha lancau semua ni babi betul dah la nak sambung kerja'
negative,"DISEBUT 'KAMPUNGAN' OLEH NAGITA SLAVINA, BEGINI REAKSI AYU TING TING nA is peran Nagita Slavina secara terus terang menyebut aksi goyang dangdut yang dilakukan Ayu Ting Ting kampungan n#NAGITASLAVINA #AYUTINGTING #RAFFIAHMAD #KAMPUNGAN URL"
negative,Sian kalo eek jangan disini dong'
positive,Indah tai sapi matalu picek '
negative,Pengen ngrasain ngentod memek ABG...'
negative,Presiden akan 'paksakan' penerapan 'Online Single Submission' - ANTARA News Jambi
positive,"Iya gue dipanggil bocil krn waktu itu gue kuntet banget, kalo upacara aja dipanggil ""eh semampai"" alias semeter tak sampai... nYak lanjot nSetelah tugimin diteriakin gitu kalian tau responnya apa???? Hahaha bangsad kau tugimin'"
positive,ganggu aja nih onta'
positive,"Tolak kebangkitan PKI, Tolak perpu anti Islam jokowi diktator lengserkan jokowi rakyat bersama tni URL"
positive,sinyal 4G ini masih kacrut aja...'
positive,Ingat jika klean mengadakan Nobar Film G30S PKI ada yg bubarkan rekam dan simpan dalam ingatan klean. Mereka adalah PKI
positive,Menteri pak de klas otak tumpul bacot congor (kambiang gadang)'
negative,JATIM ANTI HOAX. PILKADA DAMAI . . DEKLARASI ANTI HOAX PEGAWAI BENGKEL KLM KEDURUS.
negative,cocot?wkwk'
negative,"Tol dibangun buat asing aseng yg punya duit, biar gampang transpo asinya buat njarah sumber alam di daerah2 ts"
negative,Presiden FIM Jelaskan Alasan Pecahnya Race Direction dan Steward pada MotoGP
negative,"Jadi ceritanya lagi di Bali. Kenalan sama cewe , nanya nanya segala macem sampe akhirnya nanya kuliah. Ternyata dia kuliahnya di IKJ, eh fakultasnya FFTV, eh ternyata kating aing juga. Goblog dunia semakin little.'"
negative,ABG Toge Mendesah Ngentot Diatas n#VIDEOBOKEP Full ==&gt URL URL
negative,jual Stiker Awas Arus Listrik Tegangan Tinggi -
positive,kemaren momoland sekarang wanna one. gasuka bgt liat orang sukses babi emg netijen'
negative,"Saat Paul Pogba Selebrasi Gol, Terdengar Tiruan Suara Monyet #PaulPogba URL"
negative,Harinibpuasa pastu beli nasi ayam berempah tapi lupa cakap kuah asing so saya dah boleh e ct nasi dia macam mana nanti'
negative,"Temukan pesona keindahan tentang Cirebon mulai dari kuliner, bahasa, budaya, sejarah, kesenian, dan eksotisme dunia malamnya. Follow "
negative,E-Commerce â??Nyawa Baruâ?? Pe umbuhan Ekonomi RI
positive,Karaoke ke Taman Sari itu berangkatnya dengan kesadaran dan keinginan kalau diajak Anies Sandi dan Saracen itu baru jebakan..
negative,Dulu dia yang takut aku tinggalkan dia last last dia yang tinggalkan aku babi apa'
negative,"Dear Bapak nSelamat malam nKmi acungkan jempol tuk Bpk se a jajaran Kabinet yg terus sibuk kerja,kerja dan kerja dg '"
positive,Hari ini ngaku nggak kenal bsk mungkin bilang asma adalah ahoker yg menyusup di kubu anies sandi!!
positive,Dasar bajingan tengik '
negative,"Ditambah gaji yg fantastis. Bisa saja dia ke Liga Cina misalnya, cm apa a inya menaklukan liga cina buat dia? Serie A salah satu liga terbaik. Jadi pilihan cerdas mn ku.'"
negative,Yg gini mau presiden 2 priode?
positive,Janji jokowi soal 10 juta lapangan kerja ternyata benar adanya . nBuat TKA china tapi'
negative,"2. Presiden minta dengan menggunakan model registrasi yang lebih modern, cepat, sistem data yang terpadu dan terintegrasi sehingga tidak perlu lagi melewati banyak rantai birokrasi. #ratas"
negative,"Padahal ISIS mengklaim kejadian Mako Brimob adalah gerakan mereka, tp napiternya bawahan Aman. Bera i kejadian Mako sm Bom Sby ga ada kaitannya dong?'"
negative,Yang ada ngentot.'
negative,"â??Kelompok tani binaan kami akan menjadi kelompok tani pe ama pemanfaat fasilitas sub-kontrak kawasan berikat Bea Cukai, dan fasilitas ini juga yang akan kami presentasikan kepada Presiden RI Joko Widodo pada Selasa (27/3),â?? KAta Welly"
positive,"Itulah salah satu propaganda kaum komunis gaya baru, jadi sudah jelas jokowi bagian dari gerombolan tsb. LENGSERKAN JOKOWI"
positive,yg kaya gini layak di tangkap.
negative,Dulu masih bolot ya?'
positive,Dah mas gitutu orang dongo mah nNgomongin finansial ketika mau tandang ke markas mereka pada ribut nyari stadion yang kosong kan dia nggak punya stadion nLo yang harus memahami masalah persija
negative,"Digusur, PKL Medan Estate Akan Coblos Kotak Kosong di PilkadaÂ Deliserdang"
positive,"Hijrah katanya, tapi hijrahnya kearah yg lebih parah lagi, karna ada sarananya DUIT, jadilah dia ahlikul MABOK dan penikmat selangkangan PECUN, sudah dasarnya isi otak cuma SEMPAK susah di robah,'"
positive,"Astaghfirullah Hal'adzim.. Benar2 terjadi PEMBODOHAN .. Bagi yg pernah nonton , mungkin bisa tau berapa persen EDUKASI yg didapat dlm film2 ini .. #2019GantiPresiden "
positive,gak liat apa kemaren di story nya berderet gitu? jd htrz jangan goblok amat lah.. URL
negative,"siapa Hepa? sepe i Uzza dan saudarinya, hepa/heba/khepat ad dewi/ tuhan perempuan Mesopotamian, Hurrian. nso, apakah orang ibrani-yahudi juga kasih nama anaknya dgn ""abd - "" ?'"
negative,"Saat #2019GantiPresiden &amp #2019TetapJokowi kedua kubu saling caci, perkataan gak enak pun di lontarkan sepe i Goblok, Tolol, Dungu, bego apalah. Yailah udah menjadi budaya aje yakkkk.'"
positive,Xl kunyuk balik ke as lah taikk'
negative,"Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL"
positive,"Browh. Anda punya wewenang di DPR utk bentuk pansus ato apalah.. Ambil action donk, cocot aja di twitter..'"
negative,"Org lain tdk prnh salah, hanya saja mungkin Saya yg belum bisa menerima prkataan buruk org lain pada saya.'"
positive,"Mereka, kaum sipit mau menguasai tambang Indonesia, kalian ketawa saja. Dasar tidak punya nasionalisme Indonesia. Lebih baik tidak usah ikut Pemilu bagi kalian yang dukung 2 periode. Dan hasilnya Tambang Indonesia dikuasai sipit dan kalian tidak"
negative,"Ciganjur rasa mesir, gak bisa tidur lanjut menghitung Onta.'"
negative,"Asu, aku ngakak ('"
positive,Smkin glojotan para pendukung anies.sandi..
negative,Ya emang terserah lo
negative,Makna Puasa Menurut Pak Presiden ð??­ð??­ Cc 
negative,SEREM BGT SETAN'
negative,"Mendampingi Presiden Joko Widodo be emu dengan Ulama dari beberapa wilayah di Jawa Barat,Selasa kemarin..Presiden mengajak para Ulama untuk ikut se a bersama pemerintah menyejukkan suasana menjelang pilkada serentak..#JokowiCintaUlama..#JokowiAjakUlamaSe"
positive,Mari Awasi sekeliling kita masing-masing menjelang 30/S jika ada aktifitas antek komunis laporkan ke Ulama dan TNI...!! ganyang pki
negative,"Dana lagi dialokasikan buat pilkada dan persiapan Pilpres Lagian kan temen satu kubu, jubir di ILC, masa di demo ð???"
negative,Program18 Melindungi sepenuhnya seluruh produk warisan budaya / ekspresi budaya tradisional dan hak cipta para seniman. #Asyikm3nang #Asyikm3nang
positive,Hanya Orang Islam Yang Bodoh dan Goblok Yang Memilik Ahok! DebatFinalPilkadaJKT
negative,"Saya berharap Gubernur baru (Bapak Sutarmidji) dapat segera mengambil tindakan, karena mmg di jaman Cornelis (dibantu Rezim) kelihatan sangat mempermudah Cina masuk di beberapa sektor termasuk pe ambangan yang salah satunya ada di Ketapang"
positive,#Jaka aBanjir Pemimpinnya gak punya akhlak yg baik... PENISTA AGAMA. https / /t.co /PNEGDJMPCH
positive,"menghormati kinerja pemerintah yg gimana??!!! negara hampir hancur lo bilang hrs menghargai kinerja pemerintah! bego boleh, DONGO JGN!!'"
negative,James Dean nJames Franco nHeath Ledger nCharlie Hunnam njika Franco yahudi apaka yg lainnya juga?'
negative,"Cinta sebenarnya tidak buta. Cinta adalah sesuatu yang murni, luhur dan diperlukan. Yang buta adalah bila cinta itu menguasai dirimu tanpa suatu pe imbangan.'"
positive,Turunkan Jokowi Di Myanmar rohingya
positive,BENCONG TREAK BENCONG'
negative,Ada aki-aki.. Makan kue pancong.. Gw kira laki-laki.. Eh ternyata bencong!!'
positive,4 pa ai yg walkout adlh pa ai besar semua. Banteng nyungsep. Kunci ditangan Rakyat.Jgn nunggu smp2019 langsung lengserkan Jokowi. REVOLUSI
negative,Barusan ulama sejabar menyatakan dukung 2019 ð???
negative,Beuhhh...makin sehat dong kalo gitu... nPantesan babi gemuk .... '
negative,"Gw sedih liat di fesbuk banyak yg membully Yai Ma'ruf Amin... . . Beliau selalu jd sasaran kedua kubu yg be ikai... Wajar, Ulama yg lurus dan teguh memang spt itu"
negative,"dia tau tau ngechat gua beb ,gada angin gada tsunami wkwk ngasih tau kalo temen TA gua yg satu lg join rp jd yuta fak bat .. pas gua iseng on di jandro de'e nge unfol gua . wkwkwk cacat bat"""
positive,Belajar memancing... ??? #fishing #rihlah #arisan #2019GantiPresiden @ Pondok Lawu Cisarua
negative,Lu yg ngebuang anak ayam jablay gua mey balikin lu udah 3 bulan dia ga pulang'
positive,tai lu semua yg bikin meme kayak gitu. lo tau gak rasanya e usted kayak gitu karena kecapean? iya gua pernah rasain kayak orang mau mati. Bego dipelihara sampah'
positive,Brengsek ni orang tua #TAUBATEPS31'
negative,Maaf aku orang udik'
negative,Bener juga lu bangke'
negative,Aku dilempar bom. Untung aja nggak mati.'
negative,Bukan tak bagi lansung telan BRAND yahudi walaupun itu sebenarnya niatnya . Tapi jgn la SETIA telan klu boleh stop la terus . Kenapa ehh ??? nYou are what you EAT .'
negative,"Semiotika, Budaya Populer, Kebudayaan Barat, Estetika. Selalu bahas era yunani dan romawi kuno ya Allah pusing"
positive,mulai sekarang aku akan memuji pak jokowi dan bu mega. aku takut dipenjara.
positive,"Dan engaku malah pa y sana sini, tak berhenti sepe i cinta ku kepadamu tak pernah bera i. Bajingan'"
positive,"Para pembajak agama ada di semua agama. Bahkan agama Yahudi yg eksklusif itu pun konon dibajak oleh bangsa Kazhar. Betapa mudahnya membajak agama yg bersifat inklusif, dimana siapapun berhak masuk agama tsb?"
negative,"Keren dong Bapak Presidenku , Ayo, kita tularkan internet positif, jangan marah kalau ada postingan ny '"
positive,"When tumblr, tiktok, telegram are blocked by the government. n""Yang salah orangnya, yang di blokir aplikasinya. Menkominfo goblok!"". nWhen 'a Zionist ' kills one Palestinian. n""Dasar Yahudi $&amp * #$! Boikot Israel, jangan beli produk kafir!"". "
negative,Ditanam kalau binatang bangkai pitnah coba tanam sendiri.'
negative,Yaa kalo daleman nya org bejat semua susah buat bangkit'
negative,aku recommended along untuk tengok cerita the danish girl pasal the first transgender in history yang berjaya ubah diri dia jadi perempuan with professional helps. nalong dia tu khunsa la. nme tengoklah! good movie tu.'
negative,Focus Group Discussion Kegiatan Model Integrasi Ekonomi dalam Mendukung Percepatan Industrialisasi Perikanan di Kabupaten Nunukan #Kerja3ersama #RisetdanSDMKP #BRSDMBermitra
negative,Pengadilan Agama Taliwang Eksekusi â??Ha a Warisanâ?? di Bank BNI
negative,"Kepala , Dadang Sunendar, bese a jajarannya beraudiensi ke Kantor Staf Presiden untuk membahas Kongres Bahasa Indonesia XI bersama Kepala Staf Presiden, Moeldoko Rabu (18-4-2018) ."
negative,Trend kambek ini jangan sampai menjadi budaya disepakbola
negative,apa kabar UU MD3'
negative,Ganja bukan narkoba dan kiri belum tentu komunis'
negative,MAMPUS MAU SNAIL BEE INI ERROR'
negative,mukamu ke arahnya. Dan sesungguhnya orang-orang (Yahudi dan Nasrani) yang diberi Al Kitab (Taurat dan Injil)'
negative,"Ia kembali mencatat. ð??? Ketahui kapan E cism diperlukan. 1. Hubungi ahlinya. ada dua point disini pannel ini â?¢ â??Point pe ama, tentunya bicaralah dengan para pemimpin agama atau seorang e cist yang bisa melakukan e cism. #EHR124 "
negative,#syukur malaysia masih negara yg aman blh sambut raya tanpa org main bom'
positive,Napi ya napi..gak beda ya...jangan tolol sok bela penista agama...statusnya sama dengan napi lain bong..!!hehe'
positive,KepungIstana mari kita lengserkan org no 0 di INA jokowi sudah buat org gk bisa dftr cpns dia enak dulu dftr cpns mudah skrg tdk dibuka.
negative,Golkar Pa ai Koalisi Punya Hak Ajukan Cawapres Jokowi
negative,Iko suai bana uda Ardi..aset2 yg ditangan asing yg wajib diNusantarakan..lah klu Islam yg mo diNusantarakan..mngkin belajar Islamnya sama patih Gajah Mada kali... '
negative,Plenjas plenjus koyo bencong '
positive,"plis jangan sok kecantikan selalu pacarin a is2 yang lagi meletek, jijik gw liatnya"
negative,Nyari monyet ya bang? #findinghyukjae'
negative,"Kahwin awal tak pe, tapi biarlah ada landasan agama. Jangan jadikan usia sebagai penghalang utama. Bila dah sampai masa untuk mereka kahwin, kahwinkanlah dan jangan tangguhkan, tapi kena sama2 bantu kalau orang muda ada problem."
positive,Wahh pak SBY pencitraan nich.. wkwk
negative,semacem nggak nyambung kalo dia ke cina tuh wkwk'
positive,"apalagi jika ditambah dengan promosi nikah muda! Jangan berkelit dan sok inosen deh.... kita semua harus tahu dan sejak dulu diajarkan, menikah itu jika sudah siap! Mosok ajaran ini mau diganti dengan gerakan nikah muda hanya demi hindari zina? Please deh"
negative,Kalau udah uts analisa struktur temen-temen berubah jadi budek dan pura-pura bolot.'
negative,ganteng ganteng sarap '
positive,"Ehh TAIK, Bangsat lo, Omongan elo kayak IwAn bopeng, yg MO potong leher TNI, Bangsat lo IwAn bopeng, baek2in TNI. TAIK LO,"
positive,Khan yg ngajarin si garong kafir'
negative,"peluh dan keringat yang jatuh selama hampir 3 jam ditemani suara mas Cholil, yang saat itu sangat prima (semua nada tinggi on pitch, progresi nada mulus, permainan gitar tanpa cacat. hehe mungkin karena istirahat cukup secara venue sm rumah Cholil hampir"
positive,Pak SBY berani tdk bil klo Ibas terlibat Korupsi silahkan Tembak Mati kyk President Philipina srh bunuh anaknya klo terlibat Narkoba...
negative,"PEMIMPIN INDONESIA YANG KUHARAPKAN ULAMA, NEGARAWAN, PEMERSATU BANGSA How about Indonesian Leader now ? "
negative,"Awak kira ini yg dikuatirkan pemerintah, kena pula nanti mereka dipemeriksaan bpk. Masuk tansi tantangannya... hahaa"
positive,"Mendagri yg namanya cahyo kumolo itu,900000% mau lengserkan jokowi!karena si mendagri bangsat deh"
negative,"Iya betul. Gubernur sebelumnya kan cuman bisa cari sensasi yang bikin cebong girang sepe i ngomong ""tai"" , ""anjing"" , nenek dibentak-bentak'"
negative,"Nelen lu enga bisa dicerna, perut lea menolak benda asing /?'"
positive,Hutang gara-gara bapakmu yang jual aset2 ke asing nyalahin presiden skrg...tanya Jhon Perkins era kapan freepo lepas ?
positive,Generasi Muda kacrut tuh Ormas.. '
negative,jangan dipandang remeh isu LGBT. nHancur generasi bila LGBT ini diamalkan secara meluas. nSepatutnya kita menjadi penentang bukannya penyokong. nPerkara ini melanggar fitrah manusia dan agama. nSemoga Allah lindungi kita. n#MalaysiaBaharu n#LGBT'
negative,"Kebebasan pendapat, oke lah. Tapi main sambar cuitan org, rasanya jg ga harus gitu. Apalagi cuma mau menyampaikan sampah, baik ditahan. Sayang dosa #loncengbuatsambarcuitanorang'"
negative,"Kadang aku penasaran. Apa yg ada di benak orang yg selalu mencela Presiden Jokowi saat mereka menikmati hasil kepemimpinan Presiden itu ya? Saat melalui jalan2 baru, jalan-layang2 baru, bandara2 baru, saat menikmati Ka u Pintar, Ka u Sehat dst...."
negative,Patroli nih . Banyak juga otak nya yg ke geser pdhal baru tanggal muda ko pda gila gila '
positive,Bangga jadi JONGOS emang lu sendiri Udeh ngapain aja BABU ? Njilat memek BOSOK Jablay Ale ?'
positive,Mari Rebut Kembali Posisi untuk Pekerja Lokal ??????? . . #TKACinaTakTerkendali #MayDay2018 #HariBuruh2018 #2019GantiPresiden #GantiPresiden2019
negative,"""Sebaik-baik ilmu adalah ilmu yang diiringi oleh rasa takut kepada Allah."" {Syaikh ibn 'Atha'illah, kitab al-Hikam} Ilmu itu milik Allah dan pastinya semua itu ada manfaatnya. Belajarlah disiplin ilmu dengan beradab, insyaAllah ada keberkatan. Teruta"
negative,"(cont.) nHimmler merupakan pimpinan devisi SS, dan bese a perwira SS yang lain meyakini bahwa Yesus itu bukanlah orang Yahudi, tetapi orang ras Arya. n(cont.)'"
negative,"Dan Pada Sabtu (21/4/2018) pagi, Masyarakat Adat Baduy akan kembali melanjutkan perjalanan menuju Kantor Gubernur Banten di Kawasan Pusat Pemerintahan Provinsi Banten (KP3B) di Curug, Kota Serang~~ #SebaBaduy2018 Mry"
negative,as rein n- anak choir di kelas n- kesekolah gak bawa polpen n- rada dongo n- suka bantuin orang di kelas'
negative,Kampang ah foto segala ngeblur'
negative,"Kalau lgbt masuk dalam kategori rasict saya gak perduli , karna ini beda permasalahan!!!! Yang ngedukung berpikir lagi lah punya otak kan !!!! URL"
positive,Demi hukum Jokowi sudah bisa diturunkan secara konstitusional karena melanggar undang-undang. Lengserkan Jokowi...
negative,Titit peler kontol baru jadi kupu-kupu'
negative,"Serem cuy liat bencong berantem, jiwa lakinya keluar'"
positive,Saya yakin mereka komunis zionis yahudi
positive,Para pendukung Jokowi lebih parah lagi. Mereka yg buta data mengklaim secara membabi-buta sejumlah proyek infrastruktur.
negative,"Bentar kak,saya nanya dl sama pemuka agama kristen,katholik, budha , hindu dan kong hucu ya...biar ndak salah"
negative,"Islam ya islam,ga usah pake embel2.malu tuh,emg ada kristen nusantara,hindu nusantara,budha nusantara???'"
positive,tua tua pun bodo betul otak URL
positive,Dulu ada yg bilang... presiden Suha o Lengser negeri ini akan kacau.. ternyata jokowi yang merusak Indonesia
positive,BUBARKAN HTI. TOLAK FAHAM KHILAFAH
positive,"Ayo Muslim Indonesia, jangan hanya berani penggal kafir, beranilah diskusi baik2, mana MUI, NU, Muhammadiyah, ICMI?"
positive,Donatur 212....adalah bajingan URL
negative,Selamat memakai mbak
negative,pasti sangat asing sekali disini'
positive,Kaum otak cingkrang demen hoa aklum junjunganya prof abal2 dan ulama yg belajar di sekolahan kafir G?k ada sejarahnya nu dukung khilafah. Knp merasa minoritas ya m?u nyari simpatisan dr nu... Dasar wa
negative,Apakah dulu kalian tidak mendapat pelajaran agama?
negative,Saya NTB tp saya bangun jalan di Papua be ahun-tahun!! nSaya bicara krn faktanya tdk spt bualan si . nDi beberapa tempat mmg susah mndirikan Masjid...tp bebas ibadah di Koramil atw Pos Brimob! Tp kalau dikatakan org Papua mandi pakai minyak babi itu bohong bssar!!'
positive,Malam ini Ganyang! Bakar! Bunuh PKI!
negative,TAE LUH BUKANNYA MAHO YA?'
positive,Anjing komunis penista Islam!!!'
negative,Enaknya di sate atau di saus padang nih titit hehehe'
negative,Nambah 100 bisa nyewa pecun'
negative,Aksi bela cina #1 nNio amstir'
negative,"Mereka cuma tau lo brengsek! tp bagi gue lo itu nggak sepe i yg mereka omongin, dan gue yakin lo pasti bisa berubah. )'"
positive,"Apakah dgn pendapat keagamaan ini, ulama kt di MUI anti kebhinekaan atau ada yg menuduh utk mnghalangi si penista jd gubernur? #TahanPenista"
negative,Yesung adalah seorang Katholik'
positive,Liat diri sendiri pa jok masih belum becus ngurusin negara kok udah sombong *sodorin kaca URL
positive,OpRohingya Terorist Botak Teroris Budha URL
positive,Jaman SBY kader lo korupsi hambalang giliran ditangang gantung dimonas eh ciut URL
positive,Puasa ora sok sokan gaweni story bukber kantor. Ngentod fuck pencitraan. Yosy Bin Da o'
positive,Kalau sudah begini rame - rame saling cuci tangan. Cari aman masing - masing..... Dasar gubernur curang
negative,4 Kebijakan Presiden Jokowi yg Bikin PNS Bahagia. 1. Apa emen khusus bagi PNS. 2. THR lebih besar. 3. Pensiunan dapat THR. 4. PNS pria dapat cuti istri melahirkan. Fakta mana lg yg kalian dustakan.! #2019TetapJokowi 
negative,"seorang filsuf pun harus ""feel safe"" secara materi ekonomi, apapun caranya"
negative,Asal ga labil ngewe yang'
negative,nti saha kunti? butuh doi plis sekardus aja -nty'
positive,Saya rasa kalo beliau bebas jadi bahan gorengan buat sahabatnya.. taulah kaum cebong kerjaannya gimana?'
positive,Waduh kek ginian nafsu banget mo 2 periode...? Nggak janji lah yao... #2019GantiPresiden #2019GantiPresiden #2019GantiPresiden
positive,Klo busuk mawati beragama islam .. Maka dia Takut dg dirinya sendiri nGejala gila nich nenek ..'
negative,Geblek wkwkwkwkwk. Tililing tililing ( `) '
negative,Registrasi ka u sim? Sudah Terdaftar sebagai pemilih pilkada 27 Juni 2018? Sudah ð??? Cek lho ð?¤­ nyoblos lho ð?¤­
negative,IBF 2018 DIGELAR PADA 18-22 APRIL 2018 . 
positive,Soeha o yang katanya otoriter dan diktator saja takut korupsi dana haji kok Jokowi malah mau ambil dana haji dengan sepihak? )
negative,Berita ini membuatku menyesal.
negative,"Ternyata.. #hey2 Dibalik insiden heli jatuh, ternyata PT IMIP Pekerjakan 3000 WNA Cina "
positive,"Kn bukan ulama, jd ya wajar, kl ulama tersangka cabul dan kbur g brani plng baru luar biasa, eh bkn ulama, cm ktanya ulama"
positive,"Biasa, kalaupun keluar pasti postingannya yg jorok2 itulah ciri khas bani kecoak. Otaknya sdh gak berfungsi lagi.'"
negative,"Makanya mereka lebih memilih jadi TKI non prosedural/ilegal, nyari peruntungan disana meski resikonya gede banget. Mereka melewati petugas Imigrasi pada saat pembuatan Paspor dgn kedok melancong/jalan-jalan. Tapi kita tahu 100% tujuan mereka yg sebenarny"
positive,"Bukannya menyelesaikan permasalahan yang ada di Jaka a, eh malah datang ke #sumut ikut pilkada. Mau lari dari panggilan KPK ya begini nih cara kotornyaa #register40 #DjarotCalonNapi #medan #pilgubsu2018 #pilkada2018"
negative,Harga mcm yahudi. Dah lama akan durian '
negative,"Saya terpaksa berkata keras krn beliau tdk menelaah suatu masalah sebelum berkicau. Saya org Jawa Timur. Paham betul apa yg baik bagi daerah saya. Jika beliau memaksakan org utk be akbir, maka gelar Gus Du"
positive,Pendrive 16GB RM45. Betul harga yahudi dia bagi. Memang pangkah terus kedai tu.'
positive,"Tetap aja SALAH dimata bani kampret.. katanya tinggal tunggu kontrak abis, jadi msh ada peluang nyolong klo JKW ga 2 periode, diperpanjang lg kontraknya, makin tebellah kantong2 tikus berdasi'"
negative,Aher Dapat Penghargaan Te inggi Kepala Daerah dari Presiden
positive,"Kekuasaan itu cobaan, gunakan secara adil dan amanah. TolakPERPPUOtoriter TolakPERPPUAntiIslam lengserkan jokowi"
negative,Tai kaga ngajak'
positive,Cina babi tuh yang bikin rusak Indonesia. Bantai aja
negative,"HEY PRIA.. njanganlah jadi Bencong ideologi ! nKiara A ha Proyek RRC , di dampingi lansung oleh wakil PM RRC ndi kasi izin nya.. nsementara ada mantan atlit sampe sakit keras harus hidup di tenda.. nkorban kebijakan radikal ridwan kamil.. njd kau itu jgn kaya bencong , bicara Ekonomi URL"
negative,Lebih teruk daripada Ya
positive,Asma Dewi Alumni 212 Prabowo Dan Anies-Sandi Was-Was Pembalasan Ahok * wajah yg foto bersm AniesSndi 0 type bingit URL
positive,"Berhenti pamer dungu & biadab Islam, mau jadi Wiraswasta jangan lagi nyembah2 Allah SWT yang janjikan ha a rampasan"
negative,Download Aplikasi
negative,KPK Periksa Gubernur Sumut dan Cawagub Ijeck Shah KPK memeriksa Gubernur Sumater
positive,"iya , trump memang penista agama atau anti islam emang hubungannya dgn anis apa?"
negative,"â??..Reog Ponorogo di acara Badan Karantina Ikan &amp Pengendalian Mutu (BKIPM) KKP. Indahnya seni budaya Nusantara, Karya &amp karsa tradisi bangsa, Mesti dirawat, Mewujudkan kebudayaan yg berkepribadian..â?? #BulanBaktiKIPM2018 "
negative,"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan pese a Rakercabsuâ?¦"
negative,Nikmati aja tol era rezim now #2019TetapJokowi'
